nome*;tipo*;categoria*;whatsapp*;origem*;origem_detalhe;cidade;bairro;instagram;etapa*;responsavel*;ultimo_contato*;canal_ultimo_contato;resultado*;proxima_acao*;data_proxima_acao;observacoes
WSOM Natal;fornecedor;Som, iluminação e DJ com estrutura;(84) 98897-8074;Organizando Eventos;;Natal;;@wsomnatal;Prospectado;Rafael;2026-09-08;WhatsApp (Heloísa · Komune);Falei com funcionário — deixei material;Follow-up D+3 pelo app;2026-09-11;
DJ Zone Natal RN;fornecedor;Som, iluminação e DJ com estrutura;(84) 8729-9090;Organizando Eventos;;Natal;Cidade da Esperança;;Contatado;Heloísa;2026-09-04;Ligação;Não respondeu;Ligar de novo;2026-09-07;
NatalSom Sonorização;fornecedor;Som, iluminação e DJ com estrutura;(84) 9975-5618;Organizando Eventos;;Natal;;;Respondeu;Bárbara;2026-09-05;Instagram DM;Respondeu — interessado;Mandar material;2026-09-08;
Tenda Gazebo Flash;fornecedor;Tendas, estruturas, palcos;(84) 9930-0780;Organizando Eventos;;Natal;;;Em conversa;Rafael;2026-09-06;Visita;Respondeu — me chama depois;Marcar apresentação;2026-09-09;
Hora do Lazer Recreação;fornecedor;Recreadores e animadores;(84) 99927-2577;Organizando Eventos;;Natal;Candelária;;Prospectado;Heloísa;2026-09-07;WhatsApp (Heloísa · Komune);Não estava / fechado;Follow-up D+3 pelo app;2026-09-10;
Anima Mix Festas Infantis;fornecedor;Recreadores e animadores;(84) 98762-7891;Organizando Eventos;;Natal;;;Contatado;Bárbara;2026-09-08;Ligação;Falei com funcionário — deixei material;Ligar de novo;2026-09-11;
Z2 Eventos e Cerimonial;produtor;Empresas de formatura;(84) 99438-7681;Casamentos.com.br;;Natal;Capim Macio;@z2eventos;Respondeu;Rafael;2026-09-04;Instagram DM;Não respondeu;Mandar material;2026-09-07;
Triunfal Cerimonial e Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 99990-8786;Casamentos.com.br;;Natal;;;Identificado;Heloísa;2026-09-05;Visita;Respondeu — interessado;Marcar apresentação;2026-09-08;
Sonhos Cerimonial & Eventos;cerimonialista;Cerimonialistas / assessorias;(84) 9922-0177;Organizando Eventos;;Natal;Prudente de Morais;;Contatado;Bárbara;2026-09-06;WhatsApp (Heloísa · Komune);Respondeu — me chama depois;Follow-up D+3 pelo app;2026-09-09;
Idearte Entretenimento;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99414-0366;Solutudo;;Natal;Candelária;;Respondeu;Rafael;2026-09-07;Ligação;Não estava / fechado;Ligar de novo;2026-09-10;
Frisson Eventos;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 98144-9896;Solutudo;;Natal;Ribeira;;Identificado;Heloísa;2026-09-08;Instagram DM;Falei com funcionário — deixei material;Mandar material;2026-09-11;
MG Promoções e Eventos;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99200-4666;Solutudo;;Natal;Candelária;;Contatado;Bárbara;2026-09-04;Visita;Não respondeu;Marcar apresentação;2026-09-07;
Pos-Doc Eventos;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99972-7739;Solutudo;;Natal;Tirol;;Respondeu;Rafael;2026-09-05;WhatsApp (Heloísa · Komune);Respondeu — interessado;Follow-up D+3 pelo app;2026-09-08;
JB Comunicações;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99102-4602;TeleListas;;Natal;Lagoa Nova;;Identificado;Heloísa;2026-09-06;Ligação;Respondeu — me chama depois;Ligar de novo;2026-09-09;
Espaço ZR Produções e Eventos;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99634-1773;Organizando Eventos;;Natal;;;Contatado;Bárbara;2026-09-07;Instagram DM;Não estava / fechado;Mandar material;2026-09-10;
D&R Eventos e Produções;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99607-5539;Organizando Eventos;;Natal;;;Respondeu;Rafael;2026-09-08;Visita;Falei com funcionário — deixei material;Marcar apresentação;2026-09-11;
RPD Serviços e Entretenimento;produtor;Produtoras corporativas/shows e organizadores recorrentes;(84) 99406-0049;Solutudo;;Natal;Tirol;;Identificado;Heloísa;2026-09-04;WhatsApp (Heloísa · Komune);Não respondeu;Follow-up D+3 pelo app;2026-09-07;
i9 Produções & Eventos;fornecedor;Audiovisual/LED, geradores, banheiros químicos;(84) 4141-3203;Organizando Eventos;;Natal;;;Contatado;Bárbara;2026-09-05;Ligação;Respondeu — interessado;Ligar de novo;2026-09-08;
Marileide Maison Buffet;fornecedor;Buffet adulto / corporativo;(84) 3217-7012;TeleListas;;Natal;Candelária;;Prospectado;Heloísa;2026-09-04;WhatsApp (Heloísa · Komune);Não respondeu;Follow-up D+3 pelo app;2026-09-07;
Vovó Isa Biscoitos Artesanais;fornecedor;Doces, bolos, confeitaria;(84) 98606-0207;Planilha atual;;Natal;Lagoa Nova;;Opt-out (não contatar);Heloísa;2026-09-08;WhatsApp (Heloísa · Komune);Pediu para parar (SAIR);—;;pediu para sair no grupo
Bodega da Terra;fornecedor;Locais (salões, chácaras, hotéis, restaurantes, praia);84 1234;Casamentos.com.br;;Parnamirim;;;Prospectado;Heloísa;2026-09-05;Instagram DM;Não respondeu;Mandar material;2026-09-09;telefone incompleto na fonte
Circo Razzani;produtor;Circo itinerante;(84) 99999-0001;Sympla/Outgo;;Natal;;;Identificado;Matheus;2026-09-05;Ligação;Não respondeu;Achar o contato;2026-09-10;
Maré Produções e Eventos;produtor;Produtoras corporativas/shows e organizadores recorrentes;;Solutudo;;Natal;Lagoa Nova;;Identificado;Bárbara;;;;Achar o telefone;;
;fornecedor;Fotografia e vídeo;(84) 99999-0002;Instagram;;Natal;;;Prospectado;Heloísa;2026-09-05;Instagram DM;Não respondeu;Achar o nome;;
