link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,images,reservations,menu,owner,about,user_reviews,emails,facebook,linkedin
https://www.google.com/maps/place/?q=place_id:20114668903357720445,Buffet Maré Cheia,Serviço de buffet,"Av. Praia de Ponta Negra, 9001 - Ponta Negra, Natal - RN, 59090-100",,,https://buffetmarecheia.com.br,+55 84 99999-0011,,147,4.5,-5.8869,-35.1701,20114668903357720445,Operacional,,https://www.google.com/maps/place/?q=place_id:20114668903357720445&reviews=1,,America/Fortaleza,,,,,Maré Cheia,,,eventos@buffetmarecheia.com.br,,
https://www.google.com/maps/place/?q=place_id:21558790046612238870,Foto & Cia Natal,Serviço de fotografia,"R. Trairi, 900 - Petrópolis, Natal - RN, 59020-150",,,https://fotoecianatal.com.br,+55 84 99999-0012,,88,4.7,-5.7898,-35.2065,21558790046612238870,Operacional,,https://www.google.com/maps/place/?q=place_id:21558790046612238870&reviews=1,,America/Fortaleza,,,,,,,,estudio@fotoecianatal.com.br,,
https://www.google.com/maps/place/?q=place_id:10453218876690042117,Buffet Sabor do Sol,Buffet,"Av. Eng. Roberto Freire, 1234 - Capim Macio, Natal - RN, 59082-095",,,https://buffetsabordosol.com.br,+55 84 99999-0013,,191,4.8,-5.8801,-35.2011,10453218876690042117,Operacional,,https://www.google.com/maps/place/?q=place_id:10453218876690042117&reviews=1,,America/Fortaleza,,,,,Buffet Sabor do Sol,,,contato@buffetsabordosol.com.br,,
https://www.google.com/maps/place/?q=place_id:22903411778866540193,Eventos Dunas Produções,Empresa de eventos,"Av. Hermes da Fonseca, 1200 - Tirol, Natal - RN, 59020-650",,,https://eventosdunas.com.br,+55 84 99999-0014,,23,4.0,-5.7953,-35.2101,22903411778866540193,Operacional,,https://www.google.com/maps/place/?q=place_id:22903411778866540193&reviews=1,,America/Fortaleza,,,,,,,,producao@eventosdunas.com.br,,
https://www.google.com/maps/place/?q=place_id:23448120097735668204,Espaço Jardim das Artes,Espaço para eventos,"R. dos Caicós, 77 - Alecrim, Natal - RN, 59030-030",,,,+55 84 99999-0015,,310,4.6,-5.7836,-35.2237,23448120097735668204,Operacional,"Salão climatizado, jardim e estacionamento, com cozinha de apoio",https://www.google.com/maps/place/?q=place_id:23448120097735668204&reviews=1,,America/Fortaleza,,,,,,,,jardimdasartes@uol.com.br,,
https://www.google.com/maps/place/?q=place_id:24770335518820046791,Confeitaria Mel & Canela,Confeitaria,"Av. Jaguarari, 2100 - Lagoa Nova, Natal - RN, 59062-500",,,https://melecanela.com.br,+55 84 99999-0016,,265,4.4,-5.8210,-35.2128,24770335518820046791,Operacional,,https://www.google.com/maps/place/?q=place_id:24770335518820046791&reviews=1,,America/Fortaleza,,,,,,,,atendimento@melecanela.com.br,,
https://www.google.com/maps/place/?q=place_id:25081947760233115538,Buffet Infantil Tico-Tico,Casa de festas infantis,"R. Coronel Estevam, 1440 - Alecrim, Natal - RN, 59030-600",,,,+55 84 99999-0017,,132,4.2,-5.7871,-35.2254,25081947760233115538,Operacional,,https://www.google.com/maps/place/?q=place_id:25081947760233115538&reviews=1,,America/Fortaleza,,,,,,,,ticotico.festas@gmail.com,,
https://www.google.com/maps/place/?q=place_id:26619008843370554872,Cerimonial Casa Branca,Salão de festas,"Av. Sen. Salgado Filho, 3000 - Candelária, Natal - RN, 59064-000",,,https://cerimonialcasabranca.com.br,+55 84 99999-0018,,357,4.9,-5.8339,-35.2069,26619008843370554872,Operacional,,https://www.google.com/maps/place/?q=place_id:26619008843370554872&reviews=1,,America/Fortaleza,,,,,Casa Branca Cerimonial,,,cerimonial@casabranca.com.br,https://www.facebook.com/cerimonialcasabranca,https://www.linkedin.com/company/casabrancacerimonial
https://www.google.com/maps/place/?q=place_id:27230554418896007316,Locações Nordeste Tendas,Locação de tendas,"R. São José, 62 - Igapó, Natal - RN, 59104-160",,,,+55 84 99999-0019,,44,3.9,-5.7402,-35.2565,27230554418896007316,Operacional,,https://www.google.com/maps/place/?q=place_id:27230554418896007316&reviews=1,,America/Fortaleza,,,,,,,,nordestetendas@bol.com.br,,
https://www.google.com/maps/place/?q=place_id:28904117763350228641,Floricultura Orquídea do Norte,Floricultura,"Av. Ayrton Senna, 1580 - Nova Parnamirim, Parnamirim - RN, 59151-600",,,https://orquideadonorte.com.br,+55 84 99999-0020,,91,4.5,-5.8895,-35.2192,28904117763350228641,Operacional,,https://www.google.com/maps/place/?q=place_id:28904117763350228641&reviews=1,,America/Fortaleza,,,,,,,,vendas@orquideadonorte.com.br,,
